,_abilities
0,0.7635312284630402
1,0.9936588037275552
2,0.3678278054759028
3,0.7976752126465761
4,0.21524877493643577
5,0.022717557843278346
6,0.6979268221754932
7,0.7814896229995839
8,0.8282343459109196
9,0.22493253581609085
10,0.8108855614110365
11,0.4277098198403735
12,0.7302275416589445
13,0.7690644154571686
14,0.7317924063146847
15,0.36662198249102834
16,0.8755616302541287
17,0.7087364527099341
18,0.1075247695609099
19,0.17369660226497197
20,0.30649476107137247
21,0.8176595369742161
22,0.6495050724688283
23,0.5461289029214059
24,0.38747303114300186
25,0.10191848992298765
26,0.8550934294396734
27,0.8314644227255787
28,0.028557794320530433
29,0.04900125471914914
30,0.618286892812533
31,0.05985646360837832
32,0.6868242662668759
33,0.3064311714144096
34,0.3534098548122892
35,0.09668236351602984
36,0.4333214544091552
37,0.5044147995986485
38,0.4887673057495227
39,0.3999106461965465
40,0.4513188555923554
41,0.23987232924658392
42,0.05246004696732363
43,0.8148360520683864
44,0.5925851304154361
45,0.2124006725872625
46,0.29417946326519395
47,0.28392408630087423
48,0.291550452374973
49,0.6947385127108489
