,_abilities
0,0.1349270484896274
1,0.591674830902094
2,0.8051129824817022
3,0.11762390522625644
4,0.6271528319416194
5,0.6871750843545472
6,0.6745798934826146
7,0.5868804967981909
8,0.6183928259017074
9,0.9526139441750148
10,0.4578785019446617
11,0.4606721226524366
12,0.47173680111708904
13,0.7758124705978375
14,0.6278289609190526
15,0.3079707870819654
16,0.29951627767685435
17,0.8479601583600086
18,0.47734457949101256
19,0.3264513640649402
20,0.14927514601818948
21,0.5222247448427622
22,0.565319032722364
23,0.2860039131646264
24,0.8401528943787993
25,0.4044709344834351
26,0.8223811870577139
27,0.6748218626594907
28,0.016343273249143843
29,0.7869361338396159
30,0.3450481416236802
31,0.624977572963793
32,0.6612908245365293
33,0.04951730830262067
34,0.5259158705482426
35,0.2999982189757467
36,0.04566764343733788
37,0.0843881901521708
38,0.3893045091340818
39,0.11770503500867231
40,0.4225029977955263
41,0.1263805354880166
42,0.5001500237616853
43,0.33735329050320645
44,0.6510742771388381
45,0.0762904695278402
46,0.26173052295101773
47,0.3545845029535919
48,0.4445049162900149
49,0.14638658276926342
50,0.09241651572143406
51,0.06703734570273848
52,0.8351567155919128
53,0.5067094958593253
54,0.5402190570350694
55,0.5522188859001039
56,0.0410422936459687
57,0.9550547311522964
58,0.6348908015643014
59,0.024468179640112525
60,0.7564580184836964
61,0.17500797558742084
62,0.6129930180065408
63,0.09209027231457897
64,0.7338411725279954
65,0.14404386645906234
66,0.42266539485759036
67,0.7991202758971441
68,0.8105103331864104
69,0.8269140609985901
70,0.09562790096918658
71,0.47997654289073605
72,0.216178539201618
73,0.7948608013649461
74,0.4035345621260174
75,0.7263062282883532
76,0.4955279618105225
77,0.8111871629972571
78,0.5050338662735908
79,0.6228154838037814
80,0.6185081256637731
81,0.2867869498484461
82,0.784113449725722
83,0.48802141247766856
84,0.4783533034963868
85,0.24949600190494584
86,0.5044592966073744
87,0.2045165410612737
88,0.7302571075425623
89,0.9009267636788817
90,0.9954561940881708
91,0.5080079400052633
92,0.35967057862111546
93,0.15848836702828079
94,0.641099545781057
95,0.7783910033881279
96,0.008018440730427033
97,0.31071677731065706
98,0.45879896514270113
99,0.43527697583901154
