,_abilities
0,0.8804326244332633
1,0.5970737677273278
2,0.029549929437581123
3,0.7909309329006149
4,0.27946216468196444
5,0.637420618347508
6,0.026186869598800528
7,0.68694450362591
8,0.7453991156364078
9,0.6243649249075356
10,0.06056655055952324
11,0.050601985280285706
12,0.7363370671206676
13,0.7048658277803681
14,0.20604054364395585
15,0.42717773174714985
16,0.15924258205837089
17,0.8815687777341857
18,0.0796321240599349
19,0.015943179239506243
20,0.4750763443266001
21,0.7875021247358299
22,0.8860335743414375
23,0.6487116527886101
24,0.21374809106383286
25,0.6421339633398084
26,0.019027023015315368
27,0.7514640284921205
28,0.9264139448500756
29,0.6985274361861634
30,0.3909461206695081
31,0.9983267561177082
32,0.35333022839643274
33,0.5333171685118789
34,0.5923441988084106
35,0.993180916916988
36,0.13809470340575375
37,0.3375082805687344
38,0.12547146111919533
39,0.2478174689806142
40,0.15008645230833825
41,0.6081107800575813
42,0.1671014054935005
43,0.4698911052741054
44,0.5545088798734146
45,0.8224111285221101
46,0.8487030194474776
47,0.01923456130895768
48,0.25063763780570447
49,0.8161637986200301
