,_abilities
0,0.5999759807003129
1,0.7778979191020903
2,0.602429885905547
3,0.780676580223937
4,0.2372699288335528
5,0.4823823608655618
6,0.04566634520282311
7,0.4907152001720798
8,0.3553164087459367
9,0.10684219459931489
10,0.37102986495228885
11,0.3657204862233588
12,0.1214404329807042
13,0.14731295536743141
14,0.1881924057337532
15,0.8791628713912807
16,0.6849663007809399
17,0.11754501134821158
18,0.7831099707760218
19,0.18059294204738932
20,0.4151781095753631
21,0.03133200778043761
22,0.10203043428332625
23,0.16591021820358975
24,0.1809160463731577
25,0.040598610440523125
26,0.1523455133440749
27,0.9039039792779334
28,0.7154001042761072
29,0.6229019671736002
30,0.7306133977456553
31,0.9831979539801061
32,0.6454888400939636
33,0.7889731453098335
34,0.10284803140644583
35,0.9238384586837515
36,0.6508955149833268
37,0.3979701635777727
38,0.8692793555541206
39,0.28184533609465956
40,0.856010166448568
41,0.8343092945614947
42,0.1316979630554505
43,0.8217383111736507
44,0.8633751673134445
45,0.9150928614418024
46,0.027319105947355836
47,0.3493416194718845
48,0.7408101792310408
49,0.5778903558172417
50,0.41790399430783504
51,0.05622870437832718
52,0.164324613764916
53,0.102603066688839
54,0.14091665954546426
55,0.9081976857041139
56,0.5511069258236655
57,0.5791611647846879
58,0.8080812370463627
59,0.9204400269360935
60,0.17328058380109565
61,0.5231224310616158
62,0.4872468478402846
63,0.3714541093280348
64,0.9659592760149796
65,0.8330363551880332
66,0.025368533727926267
67,0.4982589352891764
68,0.020455255401879088
69,0.378563396469764
70,0.4318895847559074
71,0.7027482865986003
72,0.2757051279639889
73,0.03636349595023375
74,0.6831960397536331
75,0.06946648614481173
76,0.5426624590894592
77,0.4620818774249371
78,0.5416577809770345
79,0.07252968740505791
80,0.17600370683293481
81,0.6131747752563227
82,0.27168113283246653
83,0.37218857108623626
84,0.959990346648996
85,0.5033107662108792
86,0.8044618708555756
87,0.49899066658518904
88,0.3258725834911786
89,0.588073588519758
90,0.13054355675158774
91,0.23851116976113773
92,0.7977137758689543
93,0.5363187625218495
94,0.10134359755150633
95,0.3997713837981903
96,0.7020947378101384
97,0.12225378962049226
98,0.4927857546636475
99,0.5015476812071537
