,_abilities
0,0.6888242099333561
1,0.6423059745721656
2,0.1938205297154196
3,0.72193329036371
4,0.41559611258787327
5,0.6438016074568109
6,0.28998739867846346
7,0.256346869132222
8,0.5272355357325942
9,0.39526184070361703
10,0.14148913973985455
11,0.4756126142040042
12,0.7798394712646303
13,0.2938468226101137
14,0.7155850967563199
15,0.17342846740642812
16,0.7875006488910054
17,0.5079762075602591
18,0.45401426397057065
19,0.22688083431950412
20,0.4105505574664434
21,0.9104549064307629
22,0.030312742932104
23,0.3334760534490901
24,0.60073716021466
25,0.8580859244711838
26,0.9956198600265805
27,0.6312703375656566
28,0.28230604573233475
29,0.2071596116192133
30,0.07355826137932332
31,0.7125794886266412
32,0.0756818681233044
33,0.6656540330287694
34,0.11839894108929405
35,0.11332533364046914
36,0.48006982916444585
37,0.8943854325812851
38,0.5755377698063598
39,0.5234855054641274
40,0.6287538585416677
41,0.13783128982707354
42,0.24928803487525708
43,0.1620917408005368
44,0.5445749948624423
45,0.6142525488393217
46,0.1781906302430779
47,0.6551076823120108
48,0.1051748852690998
49,0.25036915090737505
50,0.7841553497604055
51,0.496772809615178
52,0.3853163932188632
53,0.8966342028676668
54,0.6630788734210558
55,0.9068956261684828
56,0.8658197391368394
57,0.732632201871336
58,0.024608707272686617
59,0.6074134825031805
60,0.5359598151262736
61,0.2639773434607283
62,0.44210887803142895
63,0.37596759542229347
64,0.8346943445838639
65,0.08712440723933809
66,0.2770749770596782
67,0.5151572089577215
68,0.9131797692547803
69,0.05153058099501335
70,0.6078226919259843
71,0.469987125861167
72,0.6222680641709808
73,0.6126329969577707
74,0.5461486303287664
75,0.5389989414209428
76,0.5207500306028013
77,0.5810685855358751
78,0.9633002117446569
79,0.5895347903464544
80,0.06082035870972427
81,0.5910772597452946
82,0.7666681156028062
83,0.8498029034120113
84,0.05551577956362984
85,0.4316736539880114
86,0.028663072268991258
87,0.9465596922198612
88,0.3316413577718639
89,0.8580461287970713
90,0.2395936148503981
91,0.08290737798650967
92,0.541889624839488
93,0.6610387099162137
94,0.5637819984711963
95,0.43045107721541287
96,0.4874882116808211
97,0.07811087535974766
98,0.4121263723553525
99,0.784788967110652
