,_abilities
0,0.8439973263501581
1,0.099757103433132
2,0.37608842501826056
3,0.30577572537786235
4,0.5131129600015125
5,0.07125811307252213
6,0.7201430250373353
7,0.14443955422976587
8,0.08166596047070955
9,0.12865466473548554
10,0.7055636729027986
11,0.5522307824816325
12,0.04198279414237976
13,0.6179207273192449
14,0.856976287600383
15,0.47803734039422224
16,0.4584565061490112
17,0.23467271620143132
18,0.9342138716711875
19,0.2101270287005088
20,0.6431123761703077
21,0.3598295212479806
22,0.657989129533373
23,0.8283301828466623
24,0.16640375694858822
25,0.16993108851602276
26,0.14903509256347797
27,0.42560317299092426
28,0.5238934699001228
29,0.023211719452717824
30,0.7393925337036039
31,0.5216719487342605
32,0.9706734704398997
33,0.7471048081794529
34,0.6573760005897868
35,0.8792415592931767
36,0.03680725989801271
37,0.4848465383642499
38,0.6209980680412805
39,0.30407513518187146
40,0.7767727833749516
41,0.16295961900914907
42,0.48654765814627526
43,0.35982734883734835
44,0.1727139508042625
45,0.393076252537753
46,0.3919271294062607
47,0.031905558869794085
48,0.6625233125328971
49,0.6959414953343077
