,_abilities
0,0.9007764789115591
1,0.972513059555617
2,0.2726503881304212
3,0.2320973714349473
4,0.5209820882059063
5,0.7424421558165227
6,0.017429411214509062
7,0.871072824741212
8,0.046785400515435144
9,0.8656338735542086
10,0.9889779547244688
11,0.657074589567673
12,0.6224482577573919
13,0.9491112945560711
14,0.7782230677637966
15,0.52620484997918
16,0.15681458264236753
17,0.07856650503924982
18,0.446032292378948
19,0.34019288769986555
20,0.5177988941264078
21,0.16678386452448155
22,0.337015667731048
23,0.807558279433051
24,0.6499301092234254
25,0.9867434041056234
26,0.019987573328393987
27,0.16016685583301798
28,0.41829856587801784
29,0.6117743577079351
30,0.04724830486374912
31,0.7308281910612915
32,0.6869605273672849
33,0.5687823742375561
34,0.9801037912543693
35,0.14130978769488572
36,0.3140531758019617
37,0.39321146644870536
38,0.9379579701527125
39,0.33907343752939534
40,0.7787386924734954
41,0.3977392034101124
42,0.3965200585825181
43,0.2965852137349523
44,0.1405921667594513
45,0.2606169775879083
46,0.0896225266927983
47,0.9769836105627062
48,0.08695826704780431
49,0.9170950218039103
50,0.6214860024405581
51,0.36041654881424506
52,0.9703450113342763
53,0.621883989465432
54,0.6650103583590691
55,0.8836846667240126
56,0.020621935967322463
57,0.8818448666538821
58,0.7850073261235926
59,0.49276728363818395
60,0.34891932571059314
61,0.4198965242112654
62,0.7319091427707087
63,0.1648615204439341
64,0.22550433212264073
65,0.2744434791645156
66,0.24840081160811514
67,0.08204015943648686
68,0.5983834209132528
69,0.09639905060647026
70,0.8656638075687777
71,0.26281860224800185
72,0.9581488754272028
73,0.46620923165532824
74,0.8456162048953496
75,0.5783584006567
76,0.9888863720369101
77,0.08412606710163115
78,0.5001183759579311
79,0.5218762573472575
80,0.7038003057203923
81,0.4995921582296959
82,0.97136789913236
83,0.045287716473111514
84,0.5778000610401101
85,0.4363613173555387
86,0.8608442775207827
87,0.9841161180740476
88,0.6034996611027174
89,0.18832237280497197
90,0.7167480490400772
91,0.3170149950505328
92,0.5604186111439472
93,0.20727937492780357
94,0.3757547691626684
95,0.23389955456926126
96,0.5356134995800852
97,0.7472057071610961
98,0.7912743927715864
99,0.1159559944247515
