,_abilities
0,0.9533079171817065
1,0.5168808699565329
2,0.6040338076884668
3,0.2841323265998531
4,0.23990455826148271
5,0.07552781601281351
6,0.6155174947753765
7,0.10216658856191356
8,0.961323314453935
9,0.08017612822765592
10,0.23082190241978262
11,0.5878375869946061
12,0.8422908258811538
13,0.5202185246651768
14,0.11557166969146757
15,0.5019176726824113
16,0.2597631949941397
17,0.43106302427794263
18,0.3855351468964553
19,0.22387094373644992
20,0.1788418387531566
21,0.010425977669588023
22,0.26443183892760513
23,0.16038717409733233
24,0.998393688038026
25,0.26405804626596463
26,0.5678915658191195
27,0.9299241826415536
28,0.5242902656200314
29,0.07130980056991747
30,0.6043373458292293
31,0.21590012910892145
32,0.6453671730675701
33,0.4121800525817402
34,0.37694133941989105
35,0.025013807918296847
36,0.5593726276994376
37,0.36231179929038543
38,0.7650165990483443
39,0.12067544446889049
40,0.3596887695086116
41,0.6767065025885027
42,0.6475272897675262
43,0.2046286084822072
44,0.9154235367624612
45,0.8559840902345311
46,0.645394719664293
47,0.4260140283241981
48,0.29489281877034645
49,0.4118228487731566
