,_abilities
0,0.28577193771156995
1,0.4001617954312938
2,0.689261113638805
3,0.34713638767551114
4,0.9854007669800572
5,0.6969266292697965
6,0.4358547428741325
7,0.12263801747236568
8,0.30710610814374306
9,0.40442055852618997
10,0.08550038263934982
11,0.11343073839457955
12,0.7771254415010738
13,0.7332239411032119
14,0.9691101826091879
15,0.009019612545474967
16,0.06935430371223894
17,0.834442844799892
18,0.7042610250375039
19,0.3381523224429587
20,0.9634085365363366
21,0.8626210617192709
22,0.7178007122609519
23,0.3268213147428322
24,0.8561892450233298
25,0.2928428225640722
26,0.32205760847670195
27,0.46327315550572506
28,0.9849384443723859
29,0.22689111822939662
30,0.6322997030514804
31,0.5510198458666008
32,0.39451469103849973
33,0.4306086801756788
34,0.14012679814758214
35,0.8879051647316005
36,0.7573122113703329
37,0.5151254376580219
38,0.8142680450197308
39,0.22333467458523432
40,0.4021494856956862
41,0.8482363725223275
42,0.547221363523517
43,0.020705498135549495
44,0.7540760493781797
45,0.8365414515055571
46,0.7888534487041204
47,0.8154177864403025
48,0.984749955187366
49,0.25928102953755283
