,_abilities
0,0.23914425324842847
1,0.8990901125970436
2,0.6387313554211185
3,0.4364044590172464
4,0.417617539125114
5,0.7851488806621361
6,0.8381918797643111
7,0.14049894649653202
8,0.8524922448520985
9,0.8367559103956896
10,0.05652480637898642
11,0.9001359955085481
12,0.6581879574590564
13,0.8300446264705456
14,0.1368463666245426
15,0.19059360245041315
16,0.4074798551660464
17,0.40764127881596546
18,0.671805393325534
19,0.38461551213704037
20,0.6318129614827327
21,0.06970111867252635
22,0.9455669848289042
23,0.29077416914458853
24,0.5358500481755732
25,0.12386643495356846
26,0.4281500909336167
27,0.4435984360778886
28,0.07650243926891816
29,0.14708379024333101
30,0.005997202547138745
31,0.19929897883177355
32,0.6394724704748225
33,0.6100632342599873
34,0.7515607687569106
35,0.9875219886113273
36,0.11038781846227204
37,0.38622754459501757
38,0.6768165387912243
39,0.9359744691489781
40,0.38049841228440157
41,0.08151108842033926
42,0.17231395165246668
43,0.052223630463003844
44,0.3705431163917652
45,0.609979026294685
46,0.4937246303983003
47,0.0890014238239722
48,0.7454063117570634
49,0.7102623999479233
