,_abilities
0,0.08912155549916569
1,0.8742939571074294
2,0.349383671764379
3,0.8524509516615785
4,0.32063466076719244
5,0.9739576499321164
6,0.2957177821063604
7,0.2944863126406016
8,0.43821004069509745
9,0.6747291369704478
10,0.5619644620892
11,0.19580880762399494
12,0.49759696258502434
13,0.9965725762923152
14,0.11508959045989493
15,0.14677189011223868
16,0.7159404138008
17,0.8651939680574012
18,0.40005395243693836
19,0.2849136450181024
20,0.5192105742316926
21,0.2851490276995012
22,0.044368206688717694
23,0.3676099119453066
24,0.18258882389070424
25,0.16244049466706076
26,0.016713321146599264
27,0.8929894319859661
28,0.3573773771951929
29,0.8326571888942319
30,0.28046948894971124
31,0.17811718768763016
32,0.962191420976737
33,0.7694435017540727
34,0.11205611222849621
35,0.9474967011616857
36,0.022216788782145266
37,0.29854397699451884
38,0.042325125345948456
39,0.28882263798191676
40,0.012576857431814883
41,0.08089058542100912
42,0.6967907036518142
43,0.9676574630366336
44,0.9041005262556154
45,0.463204186646859
46,0.25825674702674584
47,0.627898334310927
48,0.821459810457413
49,0.35192221029318826
50,0.6471707412951186
51,0.22436003752951078
52,0.3402869443516026
53,0.3551068451180778
54,0.9242085811571749
55,0.6772896453184502
56,0.8171099535073335
57,0.8018891352432373
58,0.5552848488686565
59,0.8664084286656686
60,0.8094507851612577
61,0.7223150913888828
62,0.8435405336300336
63,0.36053696332109897
64,0.7086121474571087
65,0.13324476639257724
66,0.9398988693234335
67,0.6295747189680455
68,0.0447181802006947
69,0.6396494189194136
70,0.06698950349081009
71,0.5064244892704745
72,0.8467952091654399
73,0.7169058029960802
74,0.17497908295991957
75,0.9247091146679476
76,0.46607595249832245
77,0.48071183043832594
78,0.5287796334534388
79,0.8107921508356442
80,0.2196509397095941
81,0.10926556577301735
82,0.8800778853286348
83,0.3805976587394381
84,0.26355221443667337
85,0.2911568364927842
86,0.32818567301489165
87,0.046914009088667365
88,0.059115792578404325
89,0.012884721348591411
90,0.3258306248805372
91,0.1158693226727125
92,0.6583219930111244
93,0.9632334981423907
94,0.8716559856707788
95,0.17972041129542846
96,0.6155796183401722
97,0.574536207798052
98,0.4365686761741486
99,0.9847190177581703
