,_abilities
0,0.019239877299983728
1,0.4879116972627528
2,0.6055100012884241
3,0.4418094786593885
4,0.4256050043662885
5,0.31399227333365576
6,0.7806879113524248
7,0.27752241255999005
8,0.46792266801599075
9,0.15634499946264718
10,0.05748656438903068
11,0.16458538756797725
12,0.3060830994914319
13,0.3278768237826162
14,0.11504196753594993
15,0.6269691292378974
16,0.08587604080815965
17,0.3987376959857226
18,0.9982947858684572
19,0.5110318623328094
20,0.018347940645046665
21,0.498725578159859
22,0.15585005524934056
23,0.6213940294938439
24,0.5266701235682648
25,0.2063655519745419
26,0.7972237367353464
27,0.09346443210460165
28,0.6452215704245129
29,0.8342559874014219
30,0.5945063593452234
31,0.45990359063060887
32,0.11432626170062068
33,0.5538703417407428
34,0.901562042360849
35,0.3851658101901247
36,0.8953888419813398
37,0.8188193818374121
38,0.8589770235780667
39,0.8529968295195335
40,0.46566113994521935
41,0.9092304549914431
42,0.1430494405973447
43,0.004578465042392018
44,0.17242905057363392
45,0.3711963554610107
46,0.4995194848993231
47,0.549595592155919
48,0.2439367378858488
49,0.8813901161261694
50,0.8911548445674667
51,0.9181388340405087
52,0.07779269655318033
53,0.31338541250039365
54,0.5682917550666714
55,0.45464664319141657
56,0.9954632934666943
57,0.22168019856548996
58,0.3647967401634905
59,0.8391866762680604
60,0.09829410502367397
61,0.9388462844116786
62,0.2533345179070055
63,0.39394360963924874
64,0.3505668964805545
65,0.9411703336949845
66,0.10037579554250231
67,0.9292097870279922
68,0.39025471234681086
69,0.3724008340410469
70,0.6503380520744805
71,0.11653456834576949
72,0.02138701892761832
73,0.7384242371089985
74,0.8904620168355807
75,0.36237163988092463
76,0.5776911223247496
77,0.6190736529392101
78,0.9805312964396447
79,0.44357648854045467
80,0.6631481431828695
81,0.2651290649551091
82,0.7263466024089056
83,0.7873917103644757
84,0.8317584221849714
85,0.5029044655069316
86,0.3586945935367101
87,0.1769704042794842
88,0.18849336166698963
89,0.8230210265671493
90,0.7896366380238339
91,0.7088976079089989
92,0.9491827469252703
93,0.32800529934711337
94,0.03992471779703985
95,0.1249859908626636
96,0.758470824301532
97,0.275413527272187
98,0.04658117403110791
99,0.4540961824001024
