,_abilities
0,0.8072094978774
1,0.49611641356709746
2,0.803486297644986
3,0.4717773829931068
4,0.6979046754512593
5,0.19517349668952266
6,0.2625680317342891
7,0.8647995565050589
8,0.8153723883406537
9,0.7258933664078016
10,0.9739711235397481
11,0.5957296389395953
12,0.9557300267603196
13,0.593947023292246
14,0.20766384174480024
15,0.8729379786145328
16,0.36634093971612297
17,0.5682876526675575
18,0.5940480819839633
19,0.4698343217929343
20,0.535265981203761
21,0.014602538922009328
22,0.23167209681563078
23,0.8306526705625172
24,0.81069169626291
25,0.5766145985043248
26,0.6613494194389246
27,0.5162139932247642
28,0.7266475702371413
29,0.16621877453616463
30,0.8404159720370267
31,0.6434542250893879
32,0.4331233741439105
33,0.7611980039357081
34,0.8983299440619346
35,0.3882566529781536
36,0.723191271791401
37,0.4915193200394473
38,0.7205449517109418
39,0.4087425843063997
40,0.5709136040752513
41,0.9112648904071982
42,0.8125104808012849
43,0.5141364683581992
44,0.32753265510025986
45,0.2812870485487723
46,0.2942368089805539
47,0.16534779490998874
48,0.91379275632406
49,0.7233181120132501
