,_abilities
0,0.3722049009198392
1,0.35197357380563377
2,0.7912884352134627
3,0.2501424637630221
4,0.47884761991017133
5,0.30221988653125725
6,0.686610256085305
7,0.5821560748630743
8,0.21442494916007215
9,0.6977122095150974
10,0.19839598737822073
11,0.26709739561834583
12,0.1346958625818035
13,0.4026036689605732
14,0.14602822376712518
15,0.39854124249417516
16,0.9527610843820419
17,0.4696780042081782
18,0.6048134761608768
19,0.9237539457941312
20,0.18381182367506568
21,0.9785312339548184
22,0.11061542769929063
23,0.991001573985588
24,0.485169280665632
25,0.31244531434095174
26,0.28927330771547666
27,0.3064713364766752
28,0.13919569646430163
29,0.09453490597619688
30,0.8351842664891973
31,0.9299393269801953
32,0.565834052207051
33,0.3498644546369566
34,0.44980362835833576
35,0.66207208695445
36,0.8470291458177531
37,0.0854700372296435
38,0.5536232296840852
39,0.6859051723508215
40,0.5800049104961701
41,0.500739671978177
42,0.6285354180727141
43,0.5428509034701762
44,0.7404855066994502
45,0.23949261514610243
46,0.4734594059068583
47,0.21022901759314214
48,0.16903364906885154
49,0.9611195541603287
